kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Aceh Barat,424227.0,441909.0,446614.0,447089.0,471058.0,517264.0,533712.0,558638.0,616091.0,644009.0
Aceh Barat Daya,292323.0,306930.0,329543.0,340903.0,358059.0,393640.0,406157.0,430297.0,474127.0,516947.0
Aceh Besar,366676.0,384545.0,398752.0,422051.0,447563.0,477938.0,489498.0,519320.0,564431.0,586860.0
Aceh Jaya,316304.0,331940.0,356060.0,373690.0,391677.0,428094.0,441706.0,468854.0,515244.0,536092.0
Aceh Selatan,288619.0,304466.0,332177.0,351288.0,369107.0,405786.0,418689.0,446224.0,494565.0,528243.0
Aceh Singkil,351409.0,368968.0,406015.0,427804.0,450217.0,473983.0,487249.0,518951.0,568691.0,609322.0
Aceh Tamiang,343246.0,368691.0,389459.0,420841.0,437991.0,459387.0,479801.0,508599.0,555387.0,583294.0
Aceh Tengah,380858.0,397859.0,427170.0,445250.0,468577.0,492227.0,505933.0,533810.0,584863.0,626090.0
Aceh Tenggara,212025.0,221799.0,250854.0,340196.0,357015.0,392493.0,404725.0,430825.0,471301.0,496074.0
Aceh Timur,328048.0,350186.0,369911.0,398493.0,417715.0,440455.0,460422.0,491550.0,530934.0,557943.0
Aceh Utara,280683.0,301733.0,318729.0,340086.0,353856.0,375394.0,392412.0,420615.0,454361.0,473719.0
Agam,279590.0,315804.0,327004.0,341372.0,379304.0,424728.0,444711.0,485222.0,530290.0,558963.0
Alor,250327.0,268450.0,287878.0,305853.0,311560.0,336402.0,364939.0,400858.0,438013.0,446875.0
Asahan,262464.0,292030.0,305868.0,315420.0,330460.0,351314.0,377752.0,397944.0,427293.0,454298.0
Asmat,299893.0,316437.0,349487.0,354478.0,364728.0,383790.0,405368.0,424978.0,450237.0,487035.0
Badung,454916.0,470732.0,500885.0,534069.0,547186.0,587737.0,613993.0,633769.0,688018.0,737800.0
Balangan,312445.0,348442.0,368580.0,382835.0,396532.0,441488.0,453928.0,476190.0,508157.0,528104.0
Bandung,275562.0,297483.0,310569.0,334929.0,345177.0,367403.0,378819.0,398884.0,426069.0,455636.0
Bandung Barat,275327.0,294823.0,309304.0,329415.0,341307.0,362212.0,374470.0,393956.0,426355.0,455325.0
Banggai,311258.0,344795.0,352840.0,373695.0,395700.0,417863.0,431639.0,457335.0,488788.0,515334.0
Banggai Kepulauan,260814.0,290742.0,300753.0,317475.0,338815.0,364025.0,373799.0,396904.0,432673.0,453552.0
Banggai Laut,274333.0,296716.0,306611.0,324734.0,335604.0,359768.0,366005.0,384686.0,424660.0,443877.0
Bangka,385899.0,427684.0,475024.0,497164.0,541925.0,577093.0,595429.0,639535.0,685810.0,723719.0
Bangka Barat,399401.0,440850.0,497567.0,520642.0,549496.0,589894.0,599887.0,635861.0,681517.0,720398.0
Bangka Selatan,374778.0,415359.0,462716.0,483823.0,523155.0,561617.0,581970.0,621629.0,669016.0,697382.0
Bangka Tengah,528720.0,586445.0,653308.0,680907.0,693842.0,721331.0,735479.0,773509.0,814969.0,856895.0
Bangkalan,319120.0,334338.0,349073.0,369455.0,389170.0,418908.0,432046.0,458754.0,503207.0,547017.0
Bangli,283849.0,305200.0,321674.0,327668.0,329014.0,346458.0,370732.0,401650.0,436928.0,465572.0
Banjar,327970.0,360494.0,381862.0,400081.0,429422.0,462375.0,482867.0,514991.0,561521.0,589165.0
Banjarnegara,236399.0,252328.0,264387.0,278210.0,301792.0,318334.0,328679.0,351333.0,380046.0,398344.0
Bantaeng,217595.0,223408.0,234286.0,260263.0,309357.0,340890.0,363342.0,394116.0,419677.0,434664.0
Bantul,312514.0,332057.0,347476.0,369480.0,381538.0,405613.0,418265.0,445511.0,488340.0,510740.0
Banyu Asin,311716.0,337391.0,353914.0,381437.0,397496.0,429816.0,445089.0,477393.0,509264.0,539283.0
Banyumas,320585.0,344514.0,357748.0,366442.0,385140.0,406250.0,417086.0,441520.0,479027.0,500861.0
Banyuwangi,295185.0,311722.0,319236.0,339891.0,353873.0,373679.0,387084.0,414879.0,448928.0,470713.0
Barito Kuala,246397.0,274571.0,291285.0,297199.0,318995.0,340526.0,355160.0,375707.0,417110.0,437579.0
Barito Selatan,333917.0,355341.0,377932.0,389405.0,408072.0,433787.0,450706.0,481352.0,512492.0,542075.0
Barito Timur,415710.0,442068.0,467091.0,478510.0,487185.0,517183.0,534896.0,571786.0,623053.0,663119.0
Barito Utara,408241.0,420100.0,446807.0,450936.0,472552.0,504430.0,525236.0,563393.0,590832.0,628429.0
Barru,263210.0,280316.0,289371.0,307904.0,322248.0,337047.0,351924.0,368150.0,400702.0,417396.0
Batang,224437.0,240541.0,249292.0,256549.0,286116.0,309202.0,318330.0,341252.0,378858.0,412196.0
Batang Hari,328769.0,341320.0,365365.0,394438.0,420227.0,450233.0,462468.0,497857.0,540168.0,613093.0
Batu Bara,320422.0,347533.0,363741.0,381651.0,408417.0,452393.0,477564.0,508524.0,556529.0,591201.0
Bekasi,394513.0,416058.0,434112.0,463507.0,481732.0,518667.0,549875.0,579221.0,632811.0,674924.0
Belitung,580050.0,610072.0,652989.0,704855.0,766276.0,812321.0,830484.0,860629.0,896948.0,919372.0
Belitung Timur,504668.0,528572.0,563309.0,622396.0,684277.0,725395.0,798017.0,854534.0,899482.0,907577.0
Belu,279442.0,300914.0,319280.0,330944.0,349414.0,372087.0,379280.0,416519.0,459111.0,476703.0
Bener Meriah,338719.0,363796.0,383289.0,413208.0,431643.0,457916.0,476074.0,512111.0,551868.0,591421.0
Bengkalis,420733.0,455021.0,496657.0,508633.0,533123.0,581416.0,604925.0,648933.0,713826.0,755572.0
Bengkayang,273629.0,291430.0,311815.0,339891.0,357112.0,365755.0,372793.0,396037.0,416148.0,440390.0
Bengkulu Selatan,294328.0,323991.0,346595.0,364888.0,377823.0,394513.0,408904.0,435955.0,467762.0,492627.0
Bengkulu Tengah,308010.0,342162.0,366034.0,389821.0,406137.0,431688.0,447435.0,512084.0,549468.0,582468.0
Bengkulu Utara,302989.0,333311.0,356566.0,359264.0,369367.0,387881.0,398746.0,423857.0,459171.0,484432.0
Berau,426681.0,465161.0,496385.0,502564.0,526615.0,568500.0,595550.0,624948.0,677819.0,731250.0
Biak Numfor,466074.0,491278.0,521782.0,528498.0,543971.0,574402.0,602931.0,627921.0,657182.0,677659.0
Bima,255962.0,282854.0,288703.0,308695.0,327602.0,356352.0,363228.0,395040.0,429327.0,451386.0
Bintan,313277.0,341812.0,354012.0,367294.0,384396.0,417654.0,424426.0,447933.0,474674.0,496764.0
Bireuen,301027.0,317562.0,335314.0,358399.0,393198.0,410203.0,422685.0,451163.0,486667.0,494866.0
Blitar,255966.0,272358.0,285474.0,305440.0,318534.0,325675.0,335573.0,355511.0,387733.0,408399.0
Blora,257581.0,279972.0,291114.0,308520.0,335837.0,353259.0,363649.0,390478.0,425135.0,464959.0
Boalemo,309227.0,332297.0,348581.0,368860.0,385122.0,426961.0,450724.0,472906.0,525007.0,551189.0
Bogor,290874.0,317430.0,337550.0,359787.0,373799.0,402877.0,418483.0,443787.0,482174.0,513512.0
Bojonegoro,284319.0,295250.0,309564.0,330544.0,347786.0,362383.0,380653.0,403403.0,435936.0,471457.0
Bolaang Mongondow,257170.0,277338.0,287751.0,295834.0,315400.0,325227.0,343302.0,355639.0,394032.0,415628.0
Bolaang Mongondow Selatan,256141.0,276229.0,288862.0,295875.0,316305.0,327648.0,345819.0,358465.0,397381.0,419865.0
Bolaang Mongondow Timur,261715.0,282240.0,293187.0,302924.0,323989.0,335241.0,353872.0,368578.0,411409.0,433873.0
Bolaang Mongondow Utara,207328.0,223588.0,230974.0,238645.0,254835.0,264227.0,275369.0,283627.0,316327.0,334448.0
Bombana,246908.0,266717.0,270627.0,288201.0,308396.0,325949.0,346726.0,368576.0,406706.0,423183.0
Bondowoso,313734.0,331975.0,343124.0,363443.0,380350.0,408352.0,423150.0,449760.0,494000.0,517741.0
Bone,252392.0,260552.0,272555.0,309076.0,325422.0,345009.0,360177.0,380513.0,408244.0,423727.0
Bone Bolango,304627.0,327354.0,339614.0,363982.0,380029.0,424275.0,449543.0,475874.0,505252.0,531286.0
Boven Digoel,379630.0,406678.0,444813.0,452723.0,458012.0,486179.0,520245.0,550445.0,585228.0,622315.0
Boyolali,263734.0,283921.0,293405.0,304575.0,332996.0,347520.0,361922.0,383030.0,420339.0,442071.0
Brebes,340538.0,364059.0,382125.0,405932.0,414642.0,431897.0,445853.0,472326.0,513339.0,542495.0
Buleleng,327357.0,350902.0,372399.0,395678.0,401377.0,424602.0,461018.0,496390.0,537262.0,570129.0
Bulukumba,272703.0,274318.0,284108.0,310753.0,330161.0,351180.0,369022.0,390040.0,406882.0,422111.0
Bulungan,352063.0,383642.0,398397.0,413294.0,448548.0,472569.0,486524.0,514320.0,551925.0,572546.0
Bungo,272254.0,292573.0,310428.0,366226.0,390439.0,422801.0,436020.0,470545.0,517119.0,607714.0
Buol,271525.0,304085.0,314556.0,332163.0,351135.0,375794.0,387444.0,410824.0,438363.0,477640.0
Buru,383904.0,396313.0,415403.0,420083.0,463169.0,492055.0,503254.0,530858.0,584277.0,610346.0
Buru Selatan,500864.0,514124.0,542036.0,542747.0,596469.0,628659.0,644441.0,677044.0,743721.0,769919.0
Buton,198183.0,209245.0,211485.0,233201.0,254013.0,262541.0,270212.0,279627.0,302183.0,313831.0
Buton Utara,258425.0,275544.0,280974.0,306437.0,331555.0,345039.0,355288.0,373792.0,403834.0,422483.0
Ciamis,296647.0,319150.0,334038.0,357382.0,363750.0,378108.0,389676.0,405294.0,442108.0,467497.0
Cianjur,287939.0,304255.0,320390.0,340882.0,350760.0,371699.0,387631.0,406829.0,437327.0,466509.0
Cilacap,273828.0,292525.0,307041.0,320106.0,337572.0,351735.0,363367.0,384955.0,419429.0,441093.0
Cirebon,327032.0,333758.0,346240.0,370747.0,381372.0,393452.0,404635.0,416914.0,451853.0,475046.0
Dairi,263359.0,293666.0,310836.0,325176.0,341511.0,380275.0,408893.0,436713.0,463360.0,502924.0
Deiyai,483206.0,503898.0,556281.0,561857.0,579263.0,608868.0,627742.0,647902.0,709749.0,770492.0
Deli Serdang,304183.0,347030.0,363371.0,381173.0,390440.0,413202.0,428123.0,448489.0,479509.0,508139.0
Demak,328529.0,356919.0,371525.0,402211.0,411202.0,432533.0,445176.0,471818.0,511145.0,535134.0
Dharmasraya,335151.0,374642.0,398408.0,414096.0,439117.0,477421.0,503183.0,530693.0,581058.0,622190.0
Dogiyai,385923.0,427149.0,471762.0,477674.0,492905.0,512654.0,557009.0,592213.0,653007.0,709423.0
Dompu,243467.0,263458.0,266483.0,284188.0,328740.0,362142.0,370120.0,404413.0,442451.0,469647.0
Donggala,251529.0,281374.0,291011.0,308212.0,336404.0,360483.0,369784.0,395028.0,421493.0,438396.0
Empat Lawang,243132.0,269211.0,280350.0,306546.0,315699.0,341007.0,360378.0,384199.0,411191.0,421747.0
Ende,291770.0,315095.0,341219.0,358986.0,363508.0,392591.0,428328.0,473403.0,518939.0,528259.0
Enrekang,258472.0,275971.0,283653.0,312674.0,331667.0,338731.0,352147.0,371669.0,408198.0,427556.0
Fakfak,433491.0,446531.0,473950.0,498184.0,544783.0,578510.0,596406.0,628418.0,671021.0,725257.0
Flores Timur,226252.0,246851.0,267317.0,281757.0,279268.0,301611.0,329340.0,364117.0,405486.0,412744.0
Garut,241068.0,256770.0,267252.0,282683.0,301202.0,310437.0,320050.0,335134.0,367681.0,393464.0
Gayo Lues,286882.0,301546.0,323482.0,368583.0,387893.0,425529.0,438689.0,470221.0,514836.0,557201.0
Gianyar,320805.0,339414.0,358496.0,378561.0,382380.0,400079.0,407945.0,434163.0,468307.0,500797.0
Gorontalo,343373.0,368863.0,382722.0,409179.0,425827.0,475102.0,502964.0,531294.0,568430.0,605743.0
Gorontalo Utara,222054.0,238621.0,251054.0,267806.0,278746.0,311200.0,327531.0,346557.0,371302.0,387535.0
Gowa,306328.0,316428.0,333002.0,365503.0,385820.0,390917.0,408435.0,429222.0,456719.0,475305.0
Gresik,372661.0,393447.0,414261.0,438704.0,466154.0,492628.0,505499.0,536544.0,588316.0,608828.0
Grobogan,303455.0,333009.0,345379.0,366192.0,375521.0,395001.0,404456.0,428597.0,464614.0,489208.0
Gunung Kidul,250630.0,264637.0,277261.0,288748.0,301125.0,319851.0,325907.0,350739.0,382249.0,401209.0
Gunung Mas,356866.0,365198.0,388415.0,388864.0,403045.0,438881.0,456984.0,479550.0,526341.0,562332.0
Halmahera Barat,269068.0,293118.0,302921.0,316381.0,324849.0,339283.0,358707.0,379108.0,414870.0,455327.0
Halmahera Selatan,245113.0,266155.0,273849.0,290627.0,310161.0,324767.0,343323.0,362100.0,400768.0,449334.0
Halmahera Tengah,361983.0,397379.0,410708.0,429805.0,454180.0,466973.0,491657.0,507555.0,552350.0,593903.0
Halmahera Timur,441911.0,494245.0,509725.0,510899.0,545238.0,569464.0,600339.0,624983.0,631233.0,655936.0
Halmahera Utara,195091.0,208832.0,215837.0,228092.0,238878.0,248544.0,263507.0,301041.0,378968.0,425857.0
Hulu Sungai Selatan,365097.0,409235.0,431296.0,444455.0,461581.0,528622.0,494203.0,516857.0,547855.0,583549.0
Hulu Sungai Tengah,279530.0,322392.0,341024.0,354214.0,365008.0,417778.0,425438.0,444331.0,475655.0,513950.0
Hulu Sungai Utara,346066.0,385338.0,407608.0,420783.0,436997.0,488237.0,501994.0,526919.0,561429.0,597894.0
Humbang Hasundutan,262317.0,301663.0,313545.0,329189.0,336500.0,374768.0,397237.0,419180.0,451625.0,487256.0
Indragiri Hilir,295781.0,315988.0,368134.0,435202.0,450728.0,495305.0,518283.0,568879.0,597122.0,629570.0
Indragiri Hulu,396088.0,419737.0,432589.0,457871.0,474298.0,522110.0,549563.0,584910.0,626671.0,660349.0
Indramayu,379088.0,397196.0,413857.0,447378.0,458240.0,474807.0,481754.0,499805.0,532545.0,560159.0
Intan Jaya,501749.0,542007.0,598436.0,606138.0,627128.0,662465.0,725106.0,769993.0,853098.0,948843.0
Jayapura,454989.0,464519.0,489932.0,549489.0,589521.0,601005.0,624845.0,651581.0,706549.0,729234.0
Jayawijaya,349878.0,367804.0,406219.0,409846.0,420471.0,461058.0,501075.0,524173.0,566319.0,722258.0
Jember,283510.0,299823.0,310650.0,324174.0,339685.0,365295.0,380397.0,400961.0,441171.0,459043.0
Jembrana,330073.0,354901.0,374057.0,385959.0,390102.0,403462.0,434839.0,458214.0,496435.0,531164.0
Jeneponto,291408.0,302113.0,315702.0,356319.0,359883.0,366453.0,374407.0,384299.0,405280.0,416231.0
Jepara,314422.0,341754.0,355607.0,371296.0,386693.0,407056.0,419028.0,442618.0,479131.0,503832.0
Jombang,316922.0,337217.0,353456.0,374895.0,399633.0,410116.0,421172.0,448830.0,488754.0,514170.0
Kaimana,336596.0,342293.0,363581.0,386576.0,412130.0,438991.0,450301.0,511011.0,609865.0,682231.0
Kampar,360324.0,375716.0,398138.0,419306.0,434601.0,460991.0,477603.0,502670.0,547696.0,590444.0
Kapuas,252866.0,266943.0,283222.0,291820.0,305809.0,332999.0,345272.0,424066.0,485958.0,508022.0
Kapuas Hulu,346335.0,369981.0,384275.0,430652.0,452471.0,465360.0,481826.0,508087.0,543301.0,572644.0
Karanganyar,303056.0,329531.0,340538.0,348896.0,365151.0,385563.0,401542.0,424677.0,465703.0,491551.0
Karawang,363105.0,386282.0,408579.0,433972.0,440347.0,466152.0,494201.0,521158.0,555889.0,597345.0
Karimun,309558.0,338341.0,354526.0,360087.0,376853.0,411052.0,422961.0,446856.0,468332.0,492654.0
Karo,357954.0,400261.0,423663.0,437702.0,460870.0,500921.0,531519.0,563660.0,606244.0,656812.0
Katingan,356695.0,387848.0,412113.0,420418.0,434609.0,474056.0,498487.0,553082.0,589596.0,615575.0
Kaur,262881.0,289374.0,310047.0,317558.0,322815.0,338451.0,350794.0,371660.0,415715.0,432939.0
Kayong Utara,230320.0,244046.0,260114.0,287078.0,302811.0,311643.0,321356.0,339089.0,365262.0,386071.0
Kebumen,292177.0,313881.0,325819.0,342437.0,362847.0,380557.0,390599.0,416004.0,451678.0,471824.0
Kediri,261088.0,272374.0,281012.0,294098.0,305491.0,324215.0,335990.0,353033.0,385874.0,403621.0
Keerom,460199.0,504460.0,532499.0,597230.0,655056.0,677050.0,704998.0,744805.0,807097.0,832766.0
Kendal,301449.0,323078.0,335497.0,353127.0,369769.0,396691.0,407387.0,433864.0,465936.0,488940.0
Kepahiang,293731.0,323333.0,348238.0,361281.0,374568.0,396184.0,410569.0,433660.0,465292.0,488445.0
Kepulauan Anambas,313042.0,341556.0,356046.0,366917.0,382449.0,416877.0,429475.0,452220.0,481718.0,504332.0
Kepulauan Aru,312520.0,337180.0,352151.0,412665.0,438848.0,490565.0,516604.0,562416.0,626086.0,644112.0
Kepulauan Mentawai,235987.0,263793.0,280695.0,294284.0,310033.0,340191.0,356403.0,386152.0,421113.0,461088.0
Kepulauan Meranti,403535.0,427938.0,445025.0,462535.0,483377.0,520955.0,542599.0,568639.0,623576.0,661863.0
Kepulauan Sangihe,215355.0,232736.0,240321.0,250475.0,263268.0,272971.0,283852.0,292549.0,313945.0,328431.0
Kepulauan Selayar,286032.0,296540.0,310978.0,348608.0,370380.0,396822.0,406732.0,430976.0,453432.0,468755.0
Kepulauan Sula,284471.0,315133.0,320854.0,337543.0,359497.0,372561.0,391912.0,414512.0,453476.0,485242.0
Kepulauan Talaud,228813.0,246757.0,257294.0,265839.0,284681.0,294686.0,308395.0,319974.0,352120.0,364581.0
Kepulauan Yapen,512934.0,536501.0,592535.0,600161.0,618487.0,653819.0,688204.0,716343.0,757676.0,782033.0
Kerinci,275265.0,285406.0,309941.0,333978.0,356059.0,385571.0,396168.0,443408.0,485838.0,606095.0
Ketapang,356319.0,366250.0,391868.0,432354.0,454160.0,468450.0,482824.0,499724.0,539108.0,570638.0
Klaten,340484.0,364240.0,376305.0,397447.0,405537.0,419510.0,436896.0,458872.0,488102.0,505826.0
Klungkung,264866.0,284789.0,299664.0,310764.0,312864.0,318139.0,342043.0,359415.0,384983.0,411010.0
Kolaka,292370.0,320897.0,327329.0,349388.0,370036.0,406919.0,432858.0,448100.0,464000.0,477917.0
Kolaka Timur,291862.0,314387.0,323956.0,345216.0,369870.0,405341.0,431179.0,458563.0,513085.0,525091.0
Kolaka Utara,356680.0,388041.0,406334.0,453994.0,454127.0,494836.0,506903.0,511972.0,517092.0,529192.0
Konawe,241617.0,260264.0,267331.0,283109.0,293801.0,323180.0,343781.0,363645.0,400581.0,425029.0
Konawe Kepulauan,240679.0,263229.0,271241.0,294035.0,314815.0,335414.0,347332.0,370692.0,393000.0,415880.0
Konawe Selatan,181796.0,195175.0,200663.0,219979.0,235654.0,261382.0,275339.0,294510.0,331620.0,354696.0
Konawe Utara,216578.0,232307.0,244391.0,260861.0,273544.0,305100.0,321986.0,340061.0,381620.0,407710.0
Kota Ambon,473236.0,486931.0,514690.0,532719.0,571315.0,596042.0,621482.0,661016.0,716560.0,750166.0
