kabupaten_kota,garis_kemiskinan_2015,garis_kemiskinan_2016,garis_kemiskinan_2017,garis_kemiskinan_2018,garis_kemiskinan_2019,garis_kemiskinan_2020,garis_kemiskinan_2021,garis_kemiskinan_2022,garis_kemiskinan_2023,garis_kemiskinan_2024
Minahasa Selatan,262940.0,283561.0,296600.0,303738.0,324860.0,336715.0,352603.0,365119.0,394739.0,435428.0
Minahasa Tenggara,277491.0,285791.0,298736.0,305919.0,325896.0,332966.0,346746.0,356988.0,385636.0,402654.0
Minahasa Utara,261951.0,282494.0,294308.0,300764.0,321679.0,333535.0,347938.0,362428.0,391699.0,427412.0
Mojokerto,311022.0,330940.0,345487.0,370610.0,394003.0,406043.0,417784.0,445608.0,486520.0,508618.0
Morowali,343269.0,379001.0,381753.0,402292.0,428744.0,463140.0,478409.0,507523.0,553185.0,590027.0
Morowali Utara,347848.0,379736.0,392811.0,412942.0,441554.0,474170.0,486511.0,519441.0,556204.0,594137.0
Muara Enim,294595.0,316729.0,331554.0,353012.0,367761.0,390342.0,405782.0,426216.0,467396.0,491107.0
Muaro Jambi,245123.0,255918.0,295983.0,353583.0,375372.0,409104.0,425294.0,462035.0,535244.0,617948.0
Mukomuko,333767.0,365084.0,388823.0,411795.0,426737.0,448127.0,464473.0,494426.0,534660.0,566069.0
Muna,269838.0,289049.0,296383.0,314928.0,342948.0,358333.0,368922.0,387114.0,419071.0,434750.0
Murung Raya,378062.0,402682.0,421903.0,442639.0,462334.0,492693.0,510939.0,550105.0,607650.0,646759.0
Musi Banyuasin,381154.0,412591.0,430771.0,466822.0,486476.0,519797.0,537774.0,566393.0,593258.0,594355.0
Musi Rawas,342956.0,377135.0,392740.0,427595.0,437854.0,467766.0,493675.0,524110.0,564151.0,589926.0
Musi Rawas Utara,358721.0,401205.0,417805.0,456844.0,470485.0,504598.0,532273.0,565070.0,604903.0,638089.0
Nabire,486456.0,520951.0,575361.0,579470.0,579753.0,612872.0,665325.0,705953.0,771751.0,833652.0
Nagan Raya,361359.0,374236.0,400811.0,426827.0,446144.0,493121.0,508801.0,544300.0,594374.0,635820.0
Nagekeo,274620.0,292032.0,316717.0,323316.0,328646.0,353481.0,386027.0,422982.0,472041.0,487814.0
Natuna,276828.0,302043.0,332248.0,362519.0,378573.0,408164.0,420503.0,449302.0,480103.0,501927.0
Nduga,239201.0,296287.0,327233.0,331445.0,341566.0,360779.0,392990.0,420185.0,475682.0,654456.0
Ngada,271299.0,291602.0,315778.0,331266.0,336601.0,363531.0,396506.0,435916.0,477840.0,489139.0
Nganjuk,322820.0,341653.0,358216.0,388186.0,408160.0,428882.0,446232.0,474429.0,513565.0,539714.0
Ngawi,250008.0,264706.0,277539.0,301158.0,325235.0,342556.0,358663.0,382301.0,413947.0,445865.0
Nias,287527.0,330111.0,346374.0,353141.0,361698.0,405355.0,428739.0,454570.0,485533.0,520024.0
Nias Barat,307907.0,352570.0,361397.0,386431.0,393450.0,433249.0,458533.0,487469.0,520543.0,556919.0
Nias Selatan,220455.0,238119.0,249225.0,261104.0,279468.0,312453.0,329308.0,350452.0,379929.0,406429.0
Nias Utara,326303.0,370371.0,381696.0,383552.0,390564.0,429836.0,455118.0,474533.0,501443.0,535575.0
Nunukan,327515.0,351479.0,377736.0,403045.0,430630.0,450718.0,479712.0,519231.0,556342.0,597431.0
Ogan Ilir,338911.0,367067.0,386740.0,416098.0,433616.0,469746.0,492537.0,523864.0,571657.0,589012.0
Ogan Komering Ilir,274843.0,295852.0,310341.0,333505.0,347121.0,375837.0,393240.0,416417.0,444881.0,473057.0
Ogan Komering Ulu,328496.0,365341.0,380254.0,415785.0,428200.0,457452.0,481139.0,511887.0,548200.0,563523.0
Ogan Komering Ulu Selatan,247779.0,273594.0,286157.0,310717.0,319333.0,341148.0,359859.0,379854.0,413228.0,436420.0
Ogan Komering Ulu Timur,241731.0,274608.0,285970.0,312340.0,321629.0,343601.0,362446.0,383463.0,410548.0,434534.0
Pacitan,228573.0,239339.0,250942.0,268592.0,283321.0,296271.0,309655.0,327758.0,352606.0,370643.0
Padang Lawas,247594.0,268922.0,281464.0,310569.0,332350.0,367932.0,388404.0,418610.0,449217.0,483395.0
Padang Lawas Utara,256219.0,278290.0,291036.0,321076.0,342885.0,380379.0,401435.0,430944.0,467457.0,502403.0
Padang Pariaman,331676.0,374636.0,385736.0,402960.0,411182.0,455463.0,475342.0,499461.0,548147.0,580392.0
Pakpak Bharat,217919.0,248835.0,256781.0,283258.0,287654.0,311584.0,332644.0,357844.0,384812.0,412759.0
Pamekasan,278093.0,292631.0,302431.0,317144.0,332775.0,357074.0,368259.0,392345.0,431127.0,467493.0
Pandeglang,247073.0,267752.0,285822.0,310859.0,326517.0,361713.0,390754.0,416248.0,455297.0,479886.0
Pangandaran,303646.0,327399.0,342672.0,360960.0,367748.0,382264.0,394101.0,411174.0,447242.0,470068.0
Paniai,388098.0,418520.0,461606.0,465658.0,479877.0,512058.0,556861.0,591595.0,654960.0,711078.0
Parigi Moutong,318088.0,354554.0,366762.0,388440.0,414380.0,444258.0,458385.0,495623.0,531255.0,553012.0
Pasaman,272779.0,307552.0,320478.0,334800.0,347153.0,388726.0,408293.0,431915.0,472703.0,515608.0
Pasaman Barat,329051.0,367159.0,382820.0,402877.0,417742.0,467769.0,492467.0,544829.0,596225.0,657354.0
Paser,363060.0,395803.0,433823.0,455635.0,477440.0,515414.0,527659.0,556371.0,600332.0,634259.0
Pasuruan,292281.0,306311.0,315145.0,331057.0,335653.0,355299.0,368686.0,394016.0,429624.0,450088.0
Pati,347575.0,377442.0,393817.0,414316.0,423922.0,445913.0,458616.0,486855.0,532545.0,559499.0
Pegunungan Arfak,530286.0,552153.0,586493.0,589168.0,628281.0,670687.0,683722.0,706497.0,723662.0,738135.0
Pegunungan Bintang,405665.0,431818.0,455819.0,511229.0,560354.0,580393.0,632210.0,692059.0,766275.0,917115.0
Pekalongan,317796.0,341648.0,354435.0,361297.0,382832.0,403662.0,416779.0,441765.0,480934.0,505520.0
Pelalawan,451528.0,473240.0,487648.0,515581.0,534078.0,585728.0,618738.0,655641.0,689786.0,729977.0
Pemalang,298622.0,319434.0,331584.0,351183.0,372115.0,389209.0,401857.0,429549.0,467204.0,493593.0
Penajam Paser Utara,360245.0,391083.0,426111.0,447539.0,466918.0,499807.0,513666.0,538022.0,583239.0,617673.0
Penukal Abab Lematang Ilir,298117.0,330907.0,346448.0,377160.0,388208.0,412236.0,435379.0,458746.0,487341.0,503822.0
Pesawaran,305540.0,330874.0,347215.0,360909.0,372649.0,403441.0,420032.0,452521.0,491249.0,524588.0
Pesisir Barat,342310.0,371724.0,390885.0,393302.0,407290.0,441917.0,460090.0,496629.0,545538.0,566040.0
Pesisir Selatan,333243.0,366228.0,390955.0,409882.0,431817.0,467743.0,491573.0,526564.0,554057.0,589787.0
Pidie,374031.0,393370.0,408150.0,435873.0,462059.0,493145.0,504452.0,535713.0,579450.0,607117.0
Pidie Jaya,380371.0,399377.0,429966.0,448201.0,455995.0,481308.0,495254.0,523239.0,572452.0,599755.0
Pinrang,234897.0,250163.0,256054.0,280746.0,294349.0,336346.0,345892.0,366808.0,400091.0,414198.0
Pohuwato,222996.0,238364.0,247476.0,263617.0,275240.0,309174.0,327587.0,345924.0,370530.0,391236.0
Polewali Mandar,305462.0,337138.0,351856.0,366355.0,376827.0,401057.0,416443.0,452836.0,482658.0,507347.0
Ponorogo,251525.0,266312.0,279168.0,297467.0,313175.0,326205.0,341090.0,362461.0,395069.0,413619.0
Poso,378190.0,416003.0,429161.0,449834.0,477801.0,515435.0,530022.0,561276.0,599881.0,620267.0
Pringsewu,350883.0,379279.0,398830.0,408174.0,422691.0,458627.0,475983.0,511679.0,555787.0,583425.0
Probolinggo,355051.0,373569.0,384343.0,402532.0,417991.0,441258.0,451395.0,475713.0,514274.0,537724.0
Pulang Pisau,314673.0,335165.0,347878.0,349978.0,365674.0,395989.0,411258.0,454933.0,507058.0,542349.0
Pulau Morotai,211627.0,229343.0,236532.0,249242.0,265761.0,276746.0,291879.0,301712.0,379931.0,428136.0
Pulau Taliabu,286373.0,331968.0,342401.0,360955.0,387664.0,401710.0,425241.0,448735.0,491203.0,525953.0
Puncak,517396.0,545506.0,602481.0,611369.0,630074.0,664865.0,721541.0,754778.0,836828.0,888666.0
Puncak Jaya,497583.0,526756.0,581537.0,589022.0,604945.0,639503.0,708658.0,744762.0,823079.0,879631.0
Purbalingga,283366.0,301862.0,313343.0,324735.0,355702.0,375199.0,384183.0,407849.0,439208.0,460870.0
Purwakarta,296477.0,312499.0,325607.0,352061.0,367273.0,378287.0,387754.0,403663.0,434187.0,467948.0
Purworejo,294158.0,313931.0,325871.0,335995.0,345458.0,364289.0,376127.0,393731.0,427622.0,459253.0
Raja Ampat,282739.0,305019.0,317416.0,326050.0,347203.0,374488.0,388021.0,464797.0,557107.0,629473.0
Rejang Lebong,346981.0,382027.0,408680.0,434643.0,449999.0,472555.0,487490.0,530029.0,566433.0,595125.0
Rembang,314596.0,338986.0,354440.0,365443.0,384561.0,403932.0,414977.0,441482.0,477514.0,518607.0
Rokan Hilir,317220.0,345953.0,367338.0,371067.0,388701.0,418473.0,437398.0,465614.0,511610.0,545799.0
Rokan Hulu,384226.0,420884.0,446901.0,467343.0,488401.0,532643.0,551351.0,585225.0,647599.0,699018.0
Rote Ndao,255551.0,279079.0,283704.0,287867.0,305166.0,322619.0,341135.0,372179.0,410491.0,426843.0
Sabu Raijua,310381.0,332332.0,354983.0,368187.0,374256.0,403846.0,438492.0,480844.0,526831.0,549947.0
Sambas,329993.0,345066.0,369202.0,407346.0,427240.0,438062.0,451173.0,472079.0,498209.0,528017.0
Samosir,242263.0,271619.0,287857.0,299640.0,315825.0,341843.0,370082.0,396267.0,425875.0,455397.0
Sampang,284928.0,296268.0,307606.0,325825.0,346075.0,374908.0,391032.0,411661.0,454716.0,491753.0
Sanggau,250928.0,265067.0,283608.0,312909.0,328763.0,346983.0,363714.0,395305.0,416112.0,440303.0
Sarmi,377926.0,399291.0,421484.0,472720.0,518491.0,535586.0,554491.0,584626.0,633124.0,653436.0
Sarolangun,370205.0,386460.0,393344.0,403411.0,424223.0,459092.0,472866.0,497951.0,545939.0,607306.0
Sekadau,256452.0,269324.0,288162.0,313930.0,329835.0,339456.0,351726.0,370836.0,392195.0,414782.0
Seluma,303713.0,332483.0,355680.0,377647.0,386321.0,400090.0,414446.0,444931.0,478617.0,502739.0
Semarang,286918.0,307505.0,317935.0,341576.0,377674.0,404455.0,416395.0,459151.0,498952.0,520639.0
Seram Bagian Barat,320963.0,334729.0,350853.0,359085.0,394628.0,419793.0,427355.0,449297.0,486747.0,508517.0
Seram Bagian Timur,311770.0,319266.0,334645.0,341261.0,375040.0,398430.0,403573.0,421902.0,458176.0,478721.0
Serang,232856.0,256660.0,269652.0,294829.0,309036.0,341074.0,362102.0,385864.0,425751.0,449291.0
Serdang Bedagai,301639.0,336478.0,350892.0,361623.0,382283.0,416991.0,448372.0,478072.0,503955.0,518209.0
Seruyan,357090.0,387592.0,415798.0,428539.0,454971.0,504264.0,529892.0,571049.0,608186.0,642281.0
Siak,363879.0,391039.0,414501.0,431814.0,443868.0,473128.0,489467.0,518768.0,558867.0,595659.0
Siau Tagulandang Biaro,245388.0,264632.0,276800.0,284021.0,302736.0,312581.0,327263.0,339250.0,370423.0,388056.0
Sidenreng Rappang,255135.0,271301.0,276558.0,299332.0,312800.0,349452.0,360591.0,383134.0,421321.0,458509.0
Sidoarjo,371947.0,394401.0,414479.0,437899.0,462738.0,486421.0,502524.0,523213.0,571696.0,597284.0
Sigi,251721.0,283227.0,299261.0,316949.0,344631.0,370788.0,382579.0,409679.0,445106.0,463011.0
Sijunjung,309209.0,344153.0,365074.0,379046.0,400861.0,433147.0,455346.0,484572.0,529460.0,565067.0
Sikka,247641.0,266257.0,288332.0,298357.0,301994.0,324775.0,354234.0,389455.0,428352.0,434074.0
Simalungun,283234.0,315947.0,331860.0,342477.0,359540.0,387549.0,416714.0,441744.0,467926.0,496959.0
Simeulue,311351.0,326563.0,350622.0,368068.0,404739.0,444754.0,458896.0,493303.0,538693.0,576505.0
Sinjai,231732.0,240245.0,250551.0,281301.0,294916.0,329819.0,352490.0,374226.0,397562.0,412441.0
Sintang,421877.0,446381.0,477604.0,551704.0,556885.0,573128.0,593844.0,620670.0,644010.0,670853.0
Situbondo,254656.0,270406.0,276924.0,294209.0,305280.0,322527.0,336040.0,356133.0,396587.0,413611.0
Sleman,318312.0,334406.0,351331.0,370127.0,382868.0,411610.0,422933.0,450763.0,491652.0,513926.0
Solok,339088.0,376748.0,400887.0,408570.0,415649.0,451906.0,461030.0,484358.0,532900.0,569605.0
Solok Selatan,292292.0,326733.0,347667.0,364498.0,387438.0,419442.0,438187.0,470090.0,516004.0,551340.0
Soppeng,213164.0,220192.0,225936.0,253457.0,297546.0,315455.0,341484.0,365650.0,398802.0,411958.0
Sorong,290375.0,316088.0,329106.0,339187.0,357900.0,379951.0,388166.0,466380.0,559363.0,631729.0
Sorong Selatan,263877.0,286318.0,297684.0,306803.0,323369.0,347898.0,358864.0,422694.0,506944.0,579310.0
Sragen,263199.0,283649.0,292544.0,312106.0,335334.0,348890.0,363349.0,389265.0,426482.0,453663.0
Subang,295174.0,303583.0,316317.0,331557.0,339607.0,351885.0,360691.0,372308.0,404320.0,434161.0
Sukabumi,260068.0,270055.0,284603.0,302213.0,309676.0,328284.0,342094.0,357636.0,392705.0,416751.0
Sukamara,384739.0,418026.0,427101.0,442086.0,469353.0,522601.0,568578.0,619116.0,648534.0,676781.0
Sukoharjo,303030.0,327217.0,337037.0,345363.0,377319.0,393776.0,410273.0,434318.0,476675.0,501693.0
Sumba Barat,274779.0,290944.0,315066.0,326334.0,331713.0,358252.0,364361.0,395592.0,422382.0,441428.0
Sumba Barat Daya,287622.0,313705.0,338742.0,350906.0,355252.0,383674.0,390217.0,432375.0,475879.0,494229.0
Sumba Tengah,233078.0,250589.0,271365.0,280425.0,285048.0,307853.0,311199.0,341513.0,362089.0,381760.0
Sumba Timur,274969.0,295684.0,320199.0,331295.0,343589.0,370487.0,375859.0,414832.0,443502.0,460384.0
Sumbawa,272274.0,296914.0,300643.0,320617.0,340254.0,369115.0,376307.0,404396.0,441977.0,477774.0
Sumbawa Barat,408991.0,435890.0,444465.0,459065.0,468122.0,489863.0,499013.0,518619.0,565599.0,611142.0
Sumedang,281649.0,295009.0,307394.0,334743.0,342073.0,353092.0,360054.0,371870.0,396573.0,422714.0
Sumenep,284756.0,301781.0,313330.0,340033.0,357473.0,382491.0,400960.0,427882.0,471860.0,506569.0
Supiori,381346.0,388523.0,429102.0,434625.0,447524.0,471401.0,498615.0,526482.0,554954.0,587783.0
Tabalong,368924.0,406669.0,430129.0,446765.0,463980.0,531180.0,542800.0,573018.0,615912.0,637132.0
Tabanan,365022.0,392479.0,412561.0,422345.0,425926.0,450571.0,488750.0,522520.0,562801.0,601963.0
Takalar,278538.0,286537.0,299721.0,335989.0,356973.0,364378.0,380564.0,399062.0,428941.0,455793.0
Tambrauw,290732.0,291576.0,308298.0,329708.0,362884.0,393268.0,399421.0,485342.0,528817.0,579473.0
Tana Tidung,326201.0,354012.0,366856.0,376876.0,406949.0,425348.0,440599.0,462898.0,490400.0,518696.0
Tana Toraja,238838.0,251452.0,261573.0,299570.0,316911.0,336877.0,350220.0,366753.0,399202.0,418308.0
Tanah Bumbu,370670.0,408481.0,427852.0,451714.0,475763.0,513803.0,530568.0,557500.0,619249.0,643652.0
Tanah Datar,306560.0,346267.0,361037.0,369833.0,379041.0,420049.0,441793.0,466907.0,515587.0,554665.0
Tanah Laut,354481.0,400757.0,425152.0,447212.0,480010.0,522845.0,537854.0,575061.0,620532.0,670062.0
Tangerang,372431.0,405902.0,423486.0,451325.0,476636.0,520742.0,545065.0,576122.0,604362.0,632941.0
Tanggamus,309569.0,332302.0,341443.0,351167.0,359580.0,397984.0,410510.0,430697.0,463925.0,496000.0
Tanjung Jabung Barat,286671.0,303479.0,314436.0,348495.0,364012.0,396113.0,409631.0,453956.0,499318.0,575337.0
Tanjung Jabung Timur,301563.0,322389.0,338963.0,361574.0,374735.0,392778.0,406772.0,468201.0,514905.0,592432.0
Tapanuli Selatan,300449.0,326321.0,340065.0,343407.0,364798.0,397363.0,420431.0,445612.0,480834.0,512480.0
Tapanuli Tengah,307710.0,353753.0,367687.0,369471.0,376474.0,406646.0,429050.0,450940.0,489760.0,527227.0
Tapanuli Utara,291893.0,325606.0,344644.0,357464.0,377948.0,406813.0,437428.0,466316.0,499881.0,531593.0
Tapin,330033.0,369153.0,390488.0,405591.0,406367.0,446577.0,459160.0,484113.0,516532.0,561101.0
Tasikmalaya,255540.0,274470.0,284462.0,306759.0,311848.0,323880.0,333909.0,347917.0,378958.0,400148.0
Tebo,315053.0,338160.0,363698.0,379390.0,404473.0,435523.0,448461.0,485883.0,528310.0,590573.0
Tegal,282861.0,308270.0,319758.0,332298.0,365334.0,390520.0,404655.0,434638.0,470728.0,497315.0
Teluk Bintuni,541295.0,549169.0,583323.0,587770.0,644838.0,683667.0,693305.0,716834.0,787048.0,794285.0
Teluk Wondama,446542.0,456709.0,488233.0,508345.0,557702.0,588838.0,597676.0,614573.0,659187.0,710854.0
Temanggung,248866.0,268730.0,277707.0,287981.0,310176.0,323705.0,336034.0,354012.0,388369.0,416086.0
Timor Tengah Selatan,254454.0,276727.0,293617.0,302124.0,318986.0,338099.0,344239.0,382167.0,420783.0,436707.0
Timor Tengah Utara,290296.0,316487.0,335517.0,343965.0,363162.0,386990.0,394818.0,440155.0,485744.0,499772.0
Tojo Una-Una,362840.0,404437.0,417508.0,442186.0,472245.0,504889.0,521534.0,547910.0,597788.0,622000.0
Toli-Toli,244472.0,272499.0,281882.0,299052.0,317448.0,343770.0,354427.0,378317.0,405556.0,441975.0
Tolikara,218759.0,228288.0,252132.0,371589.0,382936.0,404812.0,441994.0,472692.0,525770.0,675908.0
Toraja Utara,367325.0,393478.0,408827.0,309806.0,314426.0,328096.0,348611.0,364343.0,395731.0,413029.0
Trenggalek,260133.0,275426.0,288779.0,308644.0,323787.0,340915.0,358831.0,381448.0,411527.0,434146.0
Tuban,277599.0,294543.0,308822.0,328268.0,348503.0,371465.0,388176.0,421287.0,454336.0,488131.0
Tulang Bawang Barat,329796.0,358939.0,370332.0,384933.0,391096.0,432693.0,447327.0,476712.0,511418.0,544020.0
Tulangbawang,337167.0,362185.0,373681.0,384465.0,393676.0,438744.0,456567.0,486739.0,522396.0,560324.0
Tulungagung,292483.0,304518.0,314532.0,328640.0,341651.0,362213.0,374183.0,391888.0,423875.0,447793.0
Wajo,253164.0,258821.0,264376.0,297121.0,311017.0,350765.0,361181.0,375022.0,402351.0,431291.0
Wakatobi,218939.0,234351.0,239819.0,256308.0,278929.0,294440.0,302511.0,319981.0,340151.0,355748.0
Waropen,536760.0,567808.0,627112.0,632478.0,655060.0,691544.0,731467.0,769979.0,810167.0,835594.0
Way Kanan,291207.0,313733.0,323691.0,333033.0,341012.0,377712.0,389088.0,409522.0,433471.0,464717.0
Wonogiri,252903.0,275507.0,284710.0,293357.0,327364.0,341643.0,356728.0,376763.0,414901.0,443563.0
Wonosobo,275180.0,297422.0,308553.0,323490.0,340827.0,362683.0,373474.0,399180.0,425105.0,456351.0
Yahukimo,303586.0,320783.0,338613.0,379628.0,414936.0,428433.0,466113.0,496222.0,549772.0,718084.0
Yalimo,270455.0,286170.0,316059.0,320971.0,330040.0,347171.0,378167.0,395868.0,434256.0,600536.0
